character_name,star_rarity,region,vision,arkhe,weapon_type,release_date,model,constellation,birthday,special_dish,affiliation,limited,voice_en,voice_cn,voice_jp,voice_kr,ascension_specialty,ascension_boss_material,ascension_material_0-2,ascension_material_2-4,ascension_material_4-6,ascension_gem_0-1,ascension_gem_1-3,ascension_gem_3-5,ascension_gem_5-6,talent_material_1-2,talent_material_2-6,talent_material_6-10,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,ascension_special_stat,special_0,special_1,special_2,special_3,special_4,special_5,special_6
Albedo,5,Mondstadt,Geo,,Sword,2020-12-23,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,"Knights of Favonius (on profile), Yae Publishing House (as Calx)",TRUE,Khoi Dao,Mace,Kenji Nojima (野島健児),Kim Myung-jun (김명준),Cecilia,Basalt Pillar,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli,13226,251,876,12296,233,815,11669,222,773,10746,204,712,10119,192,670,9207,175,610,8579,163,568,7675,146,508,6839,130,453,5944,113,394,5317,101,352,3554,68,235,2671,51,177,1030,20,68,Geo DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Alhaitham,5,Sumeru,Dendro,,Sword,2023-01-18,Tall Male,Vultur Volans,11-Feb,Ideal Circumstance,"Sumeru Akademiya (on profile), Haravatat (graduate)",TRUE,Nazeeh Tarsha,Yang Chaoran (杨超然),Umehara Yuuichirou (梅原 裕一郎),Jun Seung Hwa (전승화),Sand Grease Pupa,Pseudo-Stamens,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Mirror of Mushin,13348,313,781,12409,291,726,11776,276,689,10845,254,635,10212,239,598,9291,218,544,8658,203,507,7746,181,453,6902,162,404,5999,140,351,5366,125,314,3586,84,210,2695,63,157,1039,24,60,Dendro DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Aloy,5,,Cryo,,Bow,2021-09-01,Medium Female,Nora Fortis,04-Apr,Satiety Gel,"Wandering Heroine (on profile), Adventurers' Guild",,Giselle Fernandez,Mufei (沐霏),Ayahi Takagaki (高垣 彩陽),Jo Hyeon-jeong (조현정),Crystal Marrow,Crystalline Bloom,Spectral Husk,Spectral Heart,Spectral Nucleus,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Molten Moment,10899,234,676,10133,217,629,9616,206,597,8856,190,550,8339,179,517,7587,163,471,7070,152,439,6325,136,393,5636,121,350,4899,105,304,4382,94,272,2928,63,182,2201,47,137,848,18,53,Cryo DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Amber,4,Mondstadt,Pyro,,Bow,2020-09-28,Medium Female,Lepus,10-Aug,Outrider's Champion Steak!,Knights of Favonius,FALSE,Kelly Baskin,Shujin Cai (蔡书瑾),Manaka Iwami (石見舞菜香),Kim Yeon-woo (김연우),Small Lamp Grass,Everflame Seed,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Dvalin's Sigh,9461,223,601,8806,208,559,8385,198,532,7730,182,491,7309,172,464,6654,157,422,6233,147,396,5578,131,354,5016,118,318,4361,103,277,3940,93,250,2630,62,167,2038,48,129,793,19,50,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Arataki Itto,5,Inazuma,Geo,,Claymore,2021-12-14,Tall Male,Taurus Iracundus,01-Jun,Way of the Strong,Arataki Gang,TRUE,Max Mittelman,Zhaokun Liu (刘照坤),Takanori Nishikawa (西川貴教),Song Joon-seok (송준석),Onikabuto,Riftborn Regalia,Slime Condensate,Slime Secretions,Slime Concentrate,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart,12858,227,959,11954,211,892,11345,199,846,10448,185,779,9838,174,734,8951,158,668,8341,147,622,7462,132,557,6649,117,496,5779,102,431,5170,91,386,3455,61,258,2597,46,194,1001,18,75,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Arlecchino,5,Snezhnaya,Pyro,,Polearm,2024-04-24,Tall Female,Ignis Purgatorius,22-Aug,Hearthfire's Trail,"Fatui (on profile), House of the Hearth, Eleven Fatui Harbingers",TRUE,Erin Yvette,Huang Ying (黄莺),Mori Nanako (森なな子),Lee Myung-hee (이명희),Rainbow Rose,Fragment of a Golden Melody,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Fading Candle,13103,342,765,12182,318,711,11561,302,675,10647,278,621,10025,262,585,9121,238,532,8500,222,496,7604,198,444,6776,177,395,5889,154,344,5268,138,307,3521,92,205,2646,69,154,1020,27,60,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Baizhu,5,Liyue,Dendro,,Catalyst,2023-05-02,Tall Male,Lagenaria,25-Apr,Heat-Quelling Soup,Bubu Pharmacy,TRUE,"Sean Durrie, Xanthe Huynh","Qin Qiege (秦且歌), Wang Xiaotong (王晓彤)","Yusa Koji (遊佐 浩二), Shoji Yui (庄子裕衣)","Lee Hosan (이호산), Jang Mi (장미)",Violetgrass,Evergloom Ring,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Worldspan Fern,13348,192,499,12409,179,464,11776,169,440,10845,156,405,10212,147,382,9291,134,347,8658,124,324,7746,111,289,6902,99,258,5999,86,224,5366,77,200,3586,51,134,2695,38,100,1039,14,38,HP,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Barbara,4,Mondstadt,Hydro,,Catalyst,2020-09-28,Medium Female,Crater,05-Jul,Spicy Stew,Church of Favonius,FALSE,Laura Stahl,Yuanyuan Song (宋媛媛),Akari Kitō (鬼頭明里),Yun Ah-yeong (윤아영),Philanemo Mushroom,Cleansing Heart,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Ring of Boreas,9787,159,669,9110,148,623,8674,141,593,7996,130,546,7561,123,517,6884,112,470,6448,105,441,5770,94,394,5189,84,355,4512,73,308,4076,66,279,2721,44,186,2108,34,144,821,13,56,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Beidou,4,Liyue,Electro,,Claymore,2020-09-28,Tall Female,Victor Mare,14-Feb,Flash-Fried Filet,The Crux,FALSE,Allegra Clark,Yajing Tang (唐雅菁),Ami Koshimizu (小清水亜美),Jeong Yoo-mi (정유미),Noctilucous Jade,Lightning Prism,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Dvalin's Sigh,13050,225,648,12146,210,603,11565,200,575,10662,184,530,10081,174,501,9178,158,456,8597,148,427,7694,133,382,6919,119,344,6015,104,299,5435,94,270,3628,63,180,2811,48,140,1094,19,54,Electro DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Bennett,4,Mondstadt,Pyro,,Sword,2020-09-28,Medium Male,Rota Calamitas,01-Feb,Teyvat Charred Egg,"Adventurers' Guild (on profile), Benny's Adventure Team",FALSE,Cristina Vee Valenzuela,Xueting Mu (穆雪婷),Ryōta Ōsaka (逢坂良太),Song Ha-rim (송하림),Windwheel Aster,Everflame Seed,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume,12397,191,771,11539,178,718,10987,169,684,10129,156,630,9577,148,596,8719,134,542,8168,126,508,7309,113,455,6573,101,409,5715,88,356,5163,80,321,3447,53,214,2670,41,166,1039,16,65,Energy Recharge,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%
